id,organization_id,description,created_at
15007,8bb70166-0f36-43c1-a3ca-37f1de08c8aa,"When funds are received: 100.00% of incoming funds goes from eBay Pod to Sequence Router Pod.

When funds are received: Anything above $500.00 moves from Sequence Router Pod to Mercury Personal Inbox.

When funds are received: 100.00% of incoming funds goes from Cash App Pod to Sequence Router Pod.

When funds are received: 100.00% of incoming funds goes from Venmo Pod to Sequence Router Pod.

When funds are received: 100.00% of incoming funds goes from BluPeak Pod to Sequence Router Pod.

When funds are received: 100.00% of incoming funds goes from Apple Cash Pod to Sequence Router Pod.

When funds are received: 100.00% of incoming funds goes from TopCashback Port to Sequence Router Pod.

When funds are received: 100.00% of incoming funds goes from Juno Pod to Sequence Router Pod.

When Chase Pod balance is at least $1,500.00: Funds move from Sapphire Checking to Sequence Router Pod.

When funds are received: 100.00% of incoming funds goes from AngelList Invest Pod to Sequence Router Pod.

When funds are received: 100.00% of incoming funds goes from Fidelity Pod to Sequence Router Pod.

When funds are received: 100.00% of incoming funds goes from SF Fire Pod to Sequence Router Pod.

When balance lessThan 50000: Funds move from Sequence Router Pod to Adv SafeBalance Banking.

When funds are received: 100.00% of incoming funds goes from PayPal Pod to Sequence Router Pod.

When funds are received: Funds move from Sequence Router Pod to Aspiration Spend.",2026-01-22 12:24:05.627+00
15008,dc4400ed-93ac-49c1-81b2-a2fd6413e89d,"When funds are received: $125.00 moves from Needs to 13th- SDGE- $150.

When funds are received: $40.00 moves from Needs to 7TH- Citi CORI.

When funds are received: Funds move from Needs to 27TH - AMEX  Gold Card.

When funds are received: Funds move from Needs to 19th- CREDIT - CORI.

When funds are received: Funds move from Needs to 13TH-ALEX CITI CARD.

When funds are received: $100.00 moves from Needs to 30TH-APPLE CREDIT CARD.

When funds are received: Funds move from Needs to 26TH- VENMO.

When funds are received: Funds move from Needs to 18TH- Discover it Card-$109.

When funds are received: $125.00 moves from Needs to 7th-Geico-$121.

When funds are received: $50.00 moves from Needs to Subscriptions and Gains.

When funds are received: $50.00 moves from Needs to Subscriptions and Gains.

When funds are received: $364.70 moves from Needs to 14th-Climb CREDIT $364.70.

When funds are received: $120.00 moves from Needs to 22rd-Freedomroad- $120.

When funds are received: $516.66 moves from Needs to 16th- GM- $516.66.

When funds are received: $15.00 moves from Needs to 28th- Lemonade- $15.

When funds are received: $50.00 moves from Needs to 19TH- Quicksilver-$50.

When funds are received: Funds move from Needs to 6th- AMEX Blue Cash Preferred®.

When funds are received: $649.00 moves from Needs to 18TH- SoFi - $649.

When funds are received: $250.00 moves from Needs to 8th-Tmobile-$295.

When funds are received: Funds move from Needs to 9TH- Alex- Chase Credit-$61.",2026-01-22 12:24:05.627+00
15009,74f674d4-920b-4211-9ab9-98d190b15099,"When (P&J)  Zoo Passes balance is at least $400.00: Anything above $400.00 moves from (P&J)  Zoo Passes to (P&J) Savings.

When (P&J) Van registration balance is at least $200.00: Anything above $200.00 moves from (P&J) Van registration to (P&J) Savings.

When (P&J) Matrix Registration balance is at least $200.00: Anything above $200.00 moves from (P&J) Matrix Registration to (P&J) Savings.

When funds are received: 100.00% of incoming funds goes from (KM) Square Deposits to (KM) Operating Account.

When funds are received: Anything above $900.00 moves from (P&J)  Groceries/House ($1-200/pay) to (P&J) Savings.

When funds are received: Anything above $300.00 moves from (P&J) Gas-van ($80/pay) to (P&J) Savings.

When funds are received: Anything above $150.00 moves from (P&J)  Gas-Matrix ($100/pay) to (P&J) Savings.

When funds are received: 100.00% of incoming funds goes from (SCC) Doordash to (SCC) Operating Account.

When funds are received: $250.00 moves from (SCC) Overhead to (SCC) Debt Payments.

When transferAmount greaterThan 120000: 10.00% of incoming funds goes from (P&J) Katy’s Income to (P&J) Giving; $40.00 moves from (P&J) Katy’s Income to (P&J) Geico ($80/mo due 20th); $50.00 moves from (P&J) Katy’s Income to (P&J)  Cell phone ($100/mo due 18th); $7.50 moves from (P&J) Katy’s Income to (P&J) Audible ($14.95/mo due 14th); $3.73 moves from (P&J) Katy’s Income to (P&J) Bank fee; $12.50 moves from (P&J) Katy’s Income to (P&J)  Christmas ($300 yr, $12.50/pay); $10.00 moves from (P&J) Katy’s Income to (P&J)  Gifts ($10/pay); $15.38 moves from (P&J) Katy’s Income to (P&J) Birthday parties ($50/party); $10.00 moves from (P&J) Katy’s Income to (P&J)  Clothes ($10/pay); $70.00 moves from (P&J) Katy’s Income to (P&J)  Supplements ($500/mo, 250/pay); $70.00 moves from (P&J) Katy’s Income to (P&J)  Chiro for family; $20.00 moves from (P&J) Katy’s Income to (P&J)  Automotive ($20/pay); $120.00 moves from (P&J) Katy’s Income to (P&J) Gas-van ($80/pay); $50.00 moves from (P&J) Katy’s Income to (P&J)  Gas-Matrix ($100/pay); $5.88 moves from (P&J) Katy’s Income to (P&J) Van registration; $6.23 moves from (P&J) Katy’s Income to (P&J) Matrix Registration; $250.00 moves from (P&J) Katy’s Income to (P&J)  Groceries/House ($1-200/pay); $100.00 moves from (P&J) Katy’s Income to (P&J)  Eating Out ($0-200/pay); $50.00 moves from (P&J) Katy’s Income to (P&J) Diapers/Kids ($50/pay); $38.00 moves from (P&J) Katy’s Income to (P&J) Cub Scouts ; $3.54 moves from (P&J) Katy’s Income to (P&J) AAA ($92 Oct 15th); $15.38 moves from (P&J) Katy’s Income to (P&J)  Zoo Passes; $150.00 moves from (P&J) Katy’s Income to (P&J) PJ Spending; 100.00% of incoming funds goes from (P&J) Katy’s Income to (P&J) Undistributed Funds.

When funds are received: $79.00 moves from (SCC) Overhead to (SCC) Marketing & Advertising.

When funds are received: $200.00 moves from (SCC) Overhead to (SCC) Debt Payments.

When funds are received: $35.00 moves from (SCC) Overhead to (SCC) Utilities.

When funds are received: $99.00 moves from (SCC) Overhead to (SCC) Software Subscriptions.

When funds are received: $900.00 moves from (SCC) Overhead to (SCC) Debt Payments.

When funds are received: Funds move from (KM) Operating Account to (KM) GHL Expenses.

When funds are received: Funds move from (SCC) Purchasing to (SCC) Purchasing Card - Primary.

When funds are received: $100.00 moves from (SCC) Overhead to (SCC) Memberships.

When funds are received: 100.00% of incoming funds goes from (KM) Client - Katy's Cafe to (KM) Operating Account.

When (SCC) PTO Pool balance lessThan $16,800.00: $131.25 moves from (SCC) Operating Account to (SCC) PTO Pool.

When funds are received: 9.20% of incoming funds goes from (SCC) Square Deposits to (SCC) Sales Tax; 11.00% of incoming funds goes from (SCC) Square Deposits to (SCC) Payroll Tips; 79.80% of incoming funds goes from (SCC) Square Deposits to (SCC) Operating Account.

When (SCC) Emergency Fund balance is at least $2,000.00: 70.00% of incoming funds goes from (SCC) Emergency Fund to (SCC) Available Cash; 30.00% of incoming funds goes from (SCC) Emergency Fund to (SCC) Taxes.

When funds are received: Funds move from (SCC) Purchasing to (SCC) Purchasing Card - Primary.

When funds are received: 30.00% of incoming funds goes from (KM) Stripe Deposits to (KM) Taxes; 70.00% of incoming funds goes from (KM) Stripe Deposits to (KM) Operating Account.

When (KM) Operating Account balance is at least $3,000.00: 100.00% of incoming funds goes from (KM) Operating Account to (KM) Emergency Fund.

When funds are received: 10.00% of incoming funds goes from (KM) Available Cash to (KM) Sinking Funds; 40.00% of incoming funds goes from (KM) Available Cash to (KM) Acquisitions & Investments; 50.00% of incoming funds goes from (KM) Available Cash to (KM) Distributions.

When (KM) Emergency Fund balance is at least $3,000.00 and (KM) Emergency Fund balance lessThan $6,000.00 and (KM) Emergency Fund balance is at least $6,000.00: 50.00% of incoming funds goes from (KM) Emergency Fund to (KM) Available Cash; 100.00% of incoming funds goes from (KM) Emergency Fund to (KM) Available Cash.

When funds are received: $120.00 moves from (SCC) Overhead to (SCC) Utilities.

When funds are received: $1,200.00 moves from (SCC) Overhead to (SCC) Utilities.

When funds are received: $20.00 moves from (SCC) Overhead to (SCC) Software Subscriptions.

When funds are received: $600.00 moves from (SCC) Overhead to (SCC) Professional Services.

When funds are received: $75.00 moves from (SCC) Overhead to (SCC) Education & Training.

When funds are received: $2,622.00 moves from (SCC) Overhead to (SCC) Rent.

When funds are received: $250.00 moves from (SCC) Overhead to (SCC) Utilities.

When funds are received: 80.00% of incoming funds goes from (SCC) Available Cash to (SCC) Sinking Funds; 10.00% of incoming funds goes from (SCC) Available Cash to (SCC) Acquisitions & Investments; 10.00% of incoming funds goes from (SCC) Available Cash to (SCC) Owner Investment Repayments.

When funds are received: $60.00 moves from (SCC) Overhead to (SCC) Software Subscriptions.

When funds are received: $184.00 moves from (SCC) Overhead to (SCC) Memberships.

When funds are received: $90.00 moves from (SCC) Overhead to (SCC) Software Subscriptions.

When funds are received: $500.00 moves from (SCC) Overhead to (SCC) Marketing & Advertising.

When (P&J) Geico ($80/mo due 20th) balance is at least $80.00: Anything above $80.00 moves from (P&J) Geico ($80/mo due 20th) to (P&J) Savings.

When funds are received: 100.00% of incoming funds goes from (P&J) Misc Deposits to (P&J) Undistributed Funds.

When (P&J) Giving balance is at least $134.00: $50.00 moves from (P&J) Giving to (P&J)  Restored ($50/mo due 1st); $50.00 moves from (P&J) Giving to (P&J) Radius; $14.00 moves from (P&J) Giving to (P&J) Derrick and Vicka ($28/mo due 19th); $20.00 moves from (P&J) Giving to (P&J) Compassion ($38/mo due 15th).

When funds are received: 100.00% of incoming funds goes from (P&J) Savings to Apple Savings (Emergency Fund).

When funds are received: 70.00% of incoming funds goes from (KM) Upwork Deposits to (KM) Operating Account; 30.00% of incoming funds goes from (KM) Upwork Deposits to (KM) Taxes.

When funds are received: 100.00% of incoming funds goes from (P&J)  Debt Payments to Apple Card.

When funds are received: Anything above $500.00 moves from Seacoast Coffee Co to (SCC) Operating Account.",2026-01-22 12:24:05.627+00
15010,970f7c34-07f1-41c3-bb5d-c14f4c738383,"When funds are received: 90.00% of incoming funds goes from Erika Router  to Alpha Money Pod; 10.00% of incoming funds goes from Erika Router  to Saving Fund.

When funds are received: 80.00% of incoming funds goes from Credit Card Router  to Credit Card Min Payment.

When funds are received: 5.00% of incoming funds goes from Alpha Money Pod to Saving Fund; 70.00% of incoming funds goes from Alpha Money Pod to Keep the fucking lights on; 25.00% of incoming funds goes from Alpha Money Pod to Spending.

When funds are received: 33.00% of incoming funds goes from Keep the fucking lights on to Mortgage Router; 30.00% of incoming funds goes from Keep the fucking lights on to Credit Card Router ; 23.00% of incoming funds goes from Keep the fucking lights on to Car Router ; 14.00% of incoming funds goes from Keep the fucking lights on to Essential Bill Router .

When funds are received: 100.00% of incoming funds goes from erika salary to Erika Router .

When Student Loans balance is at least $1,000.00 and date equal 15: 40.00% of incoming funds goes from Student Loans to EdFinancial Services Student Loan; 30.00% of incoming funds goes from Student Loans to EdFinancial Services Student Loan; 30.00% of incoming funds goes from Student Loans to EdFinancial Services Student Loan.

When funds are received: 15.00% of incoming funds goes from Spending to EAT OUT; 25.00% of incoming funds goes from Spending to Erika Needs; 25.00% of incoming funds goes from Spending to Joshua Needs; 15.00% of incoming funds goes from Spending to Household; 20.00% of incoming funds goes from Spending to Jonathan Needs.

When funds are received: 100.00% of incoming funds goes from Incoming Funds to Alpha Money Pod.

When funds are received: 100.00% of incoming funds goes from Alpha Instant Transfers to Incoming Funds.",2026-01-22 12:24:05.627+00
15011,5b66a52c-53c1-4f4e-bd03-868e6504f6a2,"When funds are received: $25.00 moves from ResellDeck/UpHex Expenses  to House Down Payment 🏠 .

When funds are received: 100.00% of incoming funds goes from Mine to Keep to House Down Payment 🏠 .

When funds are received: 100.00% of incoming funds goes from EveryDay Checking to House Down Payment 🏠 .

When funds are received: 15.00% of incoming funds goes from BMOB to Insurances (Car, Health, etc.).

When funds are received: $20.00 moves from CHILDREN ACTIVITIES to Rent.

When funds are received: $40.00 moves from ResellDeck/UpHex Expenses  to Rent.

When funds are received: $20.00 moves from FIX-IT FUND  to Rent.

When funds are received: $25.00 moves from Taxes to House Down Payment 🏠 .

When funds are received: 20.00% of incoming funds goes from FIX-IT FUND  to Citi Double Cash® Card; 15.00% of incoming funds goes from FIX-IT FUND  to Groceries .

When funds are received: 20.00% of incoming funds goes from Resellerator/Bell Electronics to Taxes.

When balance greaterThan 1000: 100.00% of incoming funds goes from EveryDay Checking to Mine to Keep.

When funds are received: 10.00% of incoming funds goes from ResellDeck/UpHex Expenses  to BMOB; 5.00% of incoming funds goes from ResellDeck/UpHex Expenses  to CHILDREN ACTIVITIES; 10.00% of incoming funds goes from ResellDeck/UpHex Expenses  to Taxes; 20.00% of incoming funds goes from ResellDeck/UpHex Expenses  to PAYROLL; 5.00% of incoming funds goes from ResellDeck/UpHex Expenses  to FIX-IT FUND ; 5.00% of incoming funds goes from ResellDeck/UpHex Expenses  to Resellerator/Bell Electronics; 5.00% of incoming funds goes from ResellDeck/UpHex Expenses  to Rent; 15.00% of incoming funds goes from ResellDeck/UpHex Expenses  to Citi Double Cash® Card.",2026-01-22 12:24:05.627+00
15012,e4931299-aa89-4367-b362-b9bba7e251a3,"When balance greaterThan 100000: 100.00% of incoming funds goes from income-hai to income.

When funds are received: 100.00% of incoming funds goes from PP ReHotel to income-hai.

When funds are received: 100.00% of incoming funds goes from wise to income.

When balance greaterThan 100000: 100.00% of incoming funds goes from Satellite  to HSBC Premier.

When balance greaterThanInclusive 0: 100.00% of incoming funds goes from income to Individual Account.",2026-01-22 12:24:05.627+00
15013,826a3dc4-e8c4-4c64-9247-f5258b6ff213,"When funds are received: $2,000.00 moves from Gusto Clean to pame taxed money; 100.00% of incoming funds goes from Gusto Clean to Post Tax Revenue.

When funds are received: 100.00% of incoming funds goes from Aesop Auto to Payroll 2.

When funds are received: 100.00% of incoming funds goes from Mayfly Labs to Revolut.

When funds are received: 20.00% of incoming funds goes from Post Tax Revenue to Weekly Money; 20.00% of incoming funds goes from Post Tax Revenue to Flagstar Personal Savings; 60.00% of incoming funds goes from Post Tax Revenue to MBD High Yield Savings.

When funds are received: $3,125.00 moves from Motley Fool to Gusto Josh.",2026-01-22 12:24:05.627+00
15014,15dabaf8-ed56-4bac-9838-a1755de46975,"When funds are received: Funds move from Silver's Savings to Southwest Card.

When funds are received: Funds move from Silver's Savings to Silver's Venture Card.

When funds are received: Funds move from JS LLC Checking to JS LLC.

When funds are received: Funds move from JS LLC Checking to J. SILVER.

When funds are received: Funds move from Silver's Savings to Personal.

When funds are received: Funds move from Personal to Apple Card.

When funds are received: $1,614.50 moves from JS LLC Checking to SWC Checking.

When funds are received: $1,280.00 moves from Rental Income to Rental - Active; 100.00% of incoming funds goes from Rental Income to Silver's Savings.

When funds are received: $3,000.00 moves from Silver's Savings to Joint.

When funds are received: 70.00% of incoming funds goes from Real Estate Commission to JS LLC Checking; 100.00% of incoming funds goes from Real Estate Commission to JS LLC Savings.

When funds are received: Anything above $17,500.00 moves from JS LLC Checking to Silver's Savings.",2026-01-22 12:24:05.627+00
15015,b61030ac-ed18-4583-b905-17679aa8cb4a,"When funds are received: 100.00% of incoming funds goes from Amazon to Affinity 3d OPEX.

When funds are received: 100.00% of incoming funds goes from 3d Printing Income to Affinity 3d OPEX.

When funds are received: 90.00% of incoming funds goes from eBay Income to eBay Salary.

When funds are received: $2,500.00 moves from Owners Pay to Salary Income.

When funds are received: 50.00% of incoming funds goes from Salary Income to Needs; 5.00% of incoming funds goes from Salary Income to Home Repairs; 10.00% of incoming funds goes from Salary Income to Savings; 10.00% of incoming funds goes from Salary Income to Vacations; 20.00% of incoming funds goes from Salary Income to Wants; 5.00% of incoming funds goes from Salary Income to Medical Bills.

When funds are received: $2,000.00 moves from Business Debt Repayment to Roxanne Vorhees.

When funds are received: 10.00% of incoming funds goes from Income to Profit; 25.00% of incoming funds goes from Income to Owners Pay; 10.00% of incoming funds goes from Income to Taxes; 50.00% of incoming funds goes from Income to Operating Expense.

When funds are received: 21.00% of incoming funds goes from Operating Expense to Business Debt Repayment; 5.00% of incoming funds goes from Operating Expense to Marketing.

When funds are received: 90.00% of incoming funds goes from WalMart to Affinity 3d OPEX.",2026-01-22 12:24:05.627+00
15016,e6a90339-0ba5-4fc7-ac6c-ff1b9d50af1c,"When funds are received: $100.00 moves from Sequence Rewards to Credit Card Fund.

When funds are received: 40.00% of incoming funds goes from Massage to Credit Card Fund; 60.00% of incoming funds goes from Massage to Bear Savings.

When funds are received: 100.00% of incoming funds goes from TCGPlayer to Energetic Massage.

When funds are received: 50.00% of incoming funds goes from Square to Credit Card Fund; 50.00% of incoming funds goes from Square to Energetic Massage.

When funds are received: 100.00% of incoming funds goes from Cashapp/Venmo/Paypal to Credit Card Fund.

When funds are received: $200.00 moves from SSDI to Groceries; $40.00 moves from SSDI to Chris Checking; 75.00% of incoming funds goes from SSDI to Credit Card Fund; 25.00% of incoming funds goes from SSDI to Bear Checking.

When funds are received: 100.00% of incoming funds goes from Groceries to AmEx.

When funds are received: Funds move from Credit Card Fund to AmEx; Funds move from Credit Card Fund to Chase; Funds move from Credit Card Fund to Long Term; Funds move from Credit Card Fund to Truck.

When funds are received: $400.00 moves from Retirement to Groceries; 75.00% of incoming funds goes from Retirement to Credit Card Fund; 25.00% of incoming funds goes from Retirement to Bear Checking.",2026-01-22 12:24:05.627+00
