ORGANIZATION_ID,ANNUALINCOME,OCCUPATION,PRODUCTGOAL,CURRENT_SUBSCRIPTION_NAME,USER_TYPE,DEBIT_CARD_SPENDER,ACTIVATED_PORTS,ACCOUNTS_CONNECTED,AGE_GROUP
d9f56937-66c8-4d8f-94af-77db6436515f,BETWEEN_100K_AND_250K,EXECUTIVE_OR_MANAGER,DEBT_PAYMENT,Starter,BUSINESS,true,1,17,36-44
b1d8bc31-3d3a-4ca3-8979-77eb986401a2,BETWEEN_100K_AND_250K,EXECUTIVE_OR_MANAGER,,Pro,BUSINESS,true,1,11,36-44
d417237f-0048-48bf-9d2e-dfe170dbbec0,BETWEEN_100K_AND_250K,ARCHITECT_OR_ENGINEER,MAINTAIN_CONTROL,Pro,BUSINESS,true,1,20,55-64
35dceec1-32a6-4c38-9062-4460813b7828,BETWEEN_100K_AND_250K,PILOT_DRIVER_OPERATOR,,Pro,INDIVIDUAL,true,1,22,25-35
3802314b-bef6-45fb-a937-8ba2f3228a54,UP_TO_10K,EXECUTIVE_OR_MANAGER,ORGANIZE_FINANCING,Business,BUSINESS,true,1,2,25-35
ed5b1d16-442c-4f66-9cfe-4e173793f801,BETWEEN_100K_AND_250K,CONSTRUCTION_MECHANIC_OR_MAINTENANCE_WORKER,ORGANIZE_FINANCING,Starter,BUSINESS,false,1,2,45-54
cb9142b2-8903-49e7-aa49-ad96b0c2e7a2,UP_TO_10K,EXECUTIVE_OR_MANAGER,,Business,BUSINESS,true,4,73,36-44
4d7b2bf4-627a-4796-8f1e-f8ed40952900,OVER_250K,ARCHITECT_OR_ENGINEER,,Business,BUSINESS,false,0,9,36-44
180791f0-458d-49ee-91b3-c10550674ef0,BETWEEN_100K_AND_250K,ENTERTAINMENT_SPORTS_ARTS_OR_MEDIA,VISUALIZE_AND_TRACK_FINANCES,Pro,INDIVIDUAL,false,1,2,25-35
ca0b62d6-d776-4664-8309-ca8b4a8113d1,BETWEEN_100K_AND_250K,ENTERTAINMENT_SPORTS_ARTS_OR_MEDIA,PROFIT_FIRST,Business,BUSINESS,false,12,11,36-44
7c029a10-1a4f-4d08-9f6e-0dd7367a51fc,BETWEEN_100K_AND_250K,SCIENTIST_OR_TECHNOLOGIST,,Pro,INDIVIDUAL,false,3,16,36-44
b1d96d6e-f4af-4db4-879f-3fb3fffabc95,BETWEEN_100K_AND_250K,EXECUTIVE_OR_MANAGER,VISUALIZE_AND_TRACK_FINANCES,Starter,INDIVIDUAL,false,1,12,25-35
9d8d1d89-f8f9-4e7b-b0aa-2bd72e9035ab,BETWEEN_100K_AND_250K,SALES_REPRESENTATIVE_BROKER_AGENT,,Starter,BUSINESS,false,3,23,45-54
dc9c1e0b-9a38-47d2-8202-5b09fa383669,BETWEEN_50K_AND_100K,SCIENTIST_OR_TECHNOLOGIST,ORGANIZE_FINANCING,Pro,BUSINESS,true,2,18,25-35
3c5a7dd3-4e9b-438b-bc81-ec4e9d54027f,BETWEEN_50K_AND_100K,EXECUTIVE_OR_MANAGER,AUTOMATE_MY_BUDGETING,Starter,BUSINESS,false,1,6,25-35
9e7d7b30-c9bb-4305-901b-fa4ca4193a34,BETWEEN_50K_AND_100K,EDUCATOR,,Pro,BUSINESS,true,1,23,45-54
c2df25bd-0dc3-427a-80a1-7f83cdc7adb7,OVER_250K,ARCHITECT_OR_ENGINEER,PAY_OFF_DEBT,Pro,INDIVIDUAL,false,1,7,45-54
4ba94b22-a880-42e3-a2d6-13e8da286db5,BETWEEN_100K_AND_250K,DOCTOR,PROFIT_FIRST,Pro,BUSINESS,true,2,45,36-44
22d04a74-f808-4d3f-9893-5821aa3c43a3,BETWEEN_100K_AND_250K,EXECUTIVE_OR_MANAGER,,Business,BUSINESS,true,1,46,45-54
a8568394-cbb2-4cf2-8dde-8bd54e1dbb14,BETWEEN_50K_AND_100K,SCIENTIST_OR_TECHNOLOGIST,,Starter,INDIVIDUAL,false,1,18,25-35
3e6529d2-b3ea-4350-86ad-c2fe2bd83e45,OVER_250K,PERSONAL_CARE_OR_SERVICE_WORKER,,Business,BUSINESS,false,1,18,36-44
bfa3bac4-f9a2-47e8-9a29-1ecbc9e63fc1,BETWEEN_100K_AND_250K,BUSINESS_ANALYST_ACCOUNTANT_OR_FINANCIAL_ADVISOR,,Business,BUSINESS,true,2,107,36-44
609df6d9-1072-4f49-b6cc-7da9e0aa777f,BETWEEN_100K_AND_250K,EXECUTIVE_OR_MANAGER,,Pro,BUSINESS,true,1,31,36-44
9e7cf596-2618-4400-8642-4bec0da248b3,BETWEEN_10K_AND_25K,GIG_WORKER,PAY_OFF_DEBT,Starter,INDIVIDUAL,true,3,411,45-54
7db65e75-6714-4c49-b205-fd7e4191d02e,,,,Starter,INDIVIDUAL,false,0,29,25-35
86a3a4be-b3d7-4772-b49f-86e5aba3d87d,BETWEEN_50K_AND_100K,SALES_REPRESENTATIVE_BROKER_AGENT,,Pro,BUSINESS,true,3,27,36-44
4022ae2e-6545-41a6-81ea-785f513cc28e,OVER_250K,CONSTRUCTION_MECHANIC_OR_MAINTENANCE_WORKER,,Business,BUSINESS,true,4,38,45-54
fe8221d4-9ccf-45ac-bf22-1409f637e3ba,OVER_250K,EXECUTIVE_OR_MANAGER,ORGANIZE_FINANCING,Business,BUSINESS,false,0,23,45-54
b9a55575-e167-429a-86f2-1d7ed8746fd4,BETWEEN_25K_AND_50K,STUDENT,,Business,INDIVIDUAL,false,1,41,45-54
65df703b-f921-4044-97d8-eb7b9e46fe5c,BETWEEN_100K_AND_250K,ARCHITECT_OR_ENGINEER,PAY_OFF_DEBT,Pro,INDIVIDUAL,false,0,19,36-44
86d89279-c6c4-4260-8d35-7c89efee6c31,BETWEEN_100K_AND_250K,SCIENTIST_OR_TECHNOLOGIST,PROFIT_FIRST,Starter,BUSINESS,false,0,16,25-35
91e36e95-b4a5-4563-b23c-125d03951a45,UP_TO_10K,EXECUTIVE_OR_MANAGER,OPTIMIZE_CASH_FLOW,Business,BUSINESS,false,0,4,18-24
7b86c76c-8693-4f9f-b415-94f3876552f1,BETWEEN_100K_AND_250K,DOCTOR,,Pro,BUSINESS,true,6,14,45-54
e73e1910-c823-4f2a-9dae-79493c9658cd,BETWEEN_100K_AND_250K,DOCTOR,,Pro,BUSINESS,true,1,90,25-35
f08322cc-7bda-40da-8558-13eddb6f6470,BETWEEN_50K_AND_100K,MANUFACTURING_OR_PRODUCTION_WORKER,VISUALIZE_AND_TRACK_FINANCES,Pro,BUSINESS,true,2,59,25-35
adca3c4b-9f1c-481f-894c-a836996c625d,BETWEEN_10K_AND_25K,PERSONAL_CARE_OR_SERVICE_WORKER,ORGANIZE_FINANCING,Pro,BUSINESS,true,1,14,55-64
3f287785-13dc-40dc-80c2-a50d9311e012,BETWEEN_25K_AND_50K,GIG_WORKER,DEBT_PAYMENT,Business,BUSINESS,true,12,28,36-44
98c9d7ea-a340-4416-8bd7-81345b536267,BETWEEN_25K_AND_50K,ARCHITECT_OR_ENGINEER,SAVE_FOR_TAXES,Starter,INDIVIDUAL,true,2,6,18-24
641de263-be37-49c4-ba87-d06dadc08b4a,BETWEEN_100K_AND_250K,ARCHITECT_OR_ENGINEER,,Starter,INDIVIDUAL,true,1,3,45-54
53e86df6-3808-4d08-9fa7-fe37223f0353,BETWEEN_50K_AND_100K,EXECUTIVE_OR_MANAGER,AUTOMATE_MY_BUDGETING,Pro,BUSINESS,true,3,18,36-44
e3afd37f-da5b-4e8b-9a3a-ab50067de56d,BETWEEN_100K_AND_250K,EXECUTIVE_OR_MANAGER,,Pro,BUSINESS,false,1,4,36-44
